Data,R,G,B,Temperatura (°C),TDS (ppm),Turbidez
2025-09-17 14:04:33,401,145,142,24.0,4,889
2025-09-17 14:04:33,395,145,145,23.9,7,889
2025-09-17 14:04:33,401,145,145,24.0,11,889
2025-09-17 14:04:35,401,145,145,24.0,14,889
2025-09-17 14:04:37,401,145,145,24.0,18,889
2025-09-17 14:04:38,433,369,360,23.9,21,891
2025-09-17 14:04:40,368,131,321,23.9,25,890
2025-09-17 14:04:42,406,133,134,23.9,27,843
2025-09-17 14:04:43,275,291,319,23.9,29,833
2025-09-17 14:04:45,263,307,312,23.9,31,832
2025-09-17 14:04:47,401,126,134,23.9,34,833
2025-09-17 14:04:48,468,155,150,23.9,36,833
2025-09-17 14:04:50,401,132,130,23.9,38,834
2025-09-17 14:04:52,411,134,387,23.9,41,836
2025-09-17 14:04:53,408,135,394,23.9,43,835
2025-09-17 14:04:55,408,129,394,23.9,45,836
2025-09-17 14:04:57,416,136,394,23.9,48,835
2025-09-17 14:04:59,410,136,395,23.9,50,834
2025-09-17 14:05:00,416,130,182,23.9,52,835
2025-09-17 14:05:02,410,136,136,23.9,54,834
2025-09-17 14:05:04,413,135,135,23.9,57,835
2025-09-17 14:05:05,414,134,135,23.9,59,836
2025-09-17 14:05:07,416,136,136,23.9,61,836
2025-09-17 14:05:09,418,137,138,23.9,63,837
2025-09-17 14:05:10,421,139,139,23.9,66,837
2025-09-17 14:05:12,418,139,140,23.9,68,837
2025-09-17 14:05:14,420,138,132,23.9,70,835
2025-09-17 14:05:15,421,139,139,23.9,72,837
2025-09-17 14:05:17,421,139,133,23.9,74,835
2025-09-17 14:05:19,418,93,93,23.9,77,836
2025-09-17 14:05:20,265,297,303,23.9,76,835
2025-09-17 14:05:22,261,306,305,23.9,75,836
2025-09-17 14:05:24,261,306,306,23.9,73,836
2025-09-17 14:05:25,268,300,306,23.9,72,836
2025-09-17 14:05:27,269,308,308,23.9,71,836
2025-09-17 14:05:29,273,312,312,23.9,70,838
2025-09-17 14:05:31,268,314,306,23.9,69,836
2025-09-17 14:05:32,272,312,306,23.9,70,837
2025-09-17 14:05:34,274,315,314,23.9,70,837
2025-09-17 14:05:36,274,319,318,23.9,70,837
2025-09-17 14:05:37,276,317,315,23.9,69,838
2025-09-17 14:05:39,276,319,316,23.9,69,838
2025-09-17 14:05:41,283,319,338,23.9,70,842
2025-09-17 14:05:42,309,341,326,23.8,69,843
2025-09-17 14:05:44,292,341,347,23.9,69,844
2025-09-17 14:05:46,383,369,372,23.9,69,843
2025-09-17 14:05:47,379,363,361,23.9,69,845
2025-09-17 14:05:49,320,372,368,23.8,69,845
2025-09-17 14:05:51,333,386,387,23.8,69,843
2025-09-17 14:05:52,323,375,373,23.8,69,842
2025-09-17 14:05:54,448,158,404,23.8,69,844
2025-09-17 14:05:56,443,158,401,23.8,69,842
2025-09-17 14:05:58,299,348,398,23.8,69,843
2025-09-17 14:05:59,447,149,404,23.8,69,843
2025-09-17 14:06:01,445,151,404,23.9,69,842
2025-09-17 14:06:03,445,157,403,23.8,69,842
2025-09-17 14:06:04,445,157,403,23.8,69,845
2025-09-17 14:06:06,438,157,186,23.8,69,843
2025-09-17 14:06:08,445,157,232,23.9,69,844
