Data,R,G,B,Temperatura (°C),TDS (ppm),Turbidez
2025-09-17 14:21:07,283,324,317,22.9,42,865
2025-09-17 14:21:07,280,327,327,22.9,82,865
2025-09-17 14:21:08,290,325,333,23.0,120,864
2025-09-17 14:21:10,302,338,346,23.0,156,864
2025-09-17 14:21:11,316,357,359,23.0,192,865
2025-09-17 14:21:13,327,368,374,23.0,227,866
2025-09-17 14:21:15,322,374,373,23.0,262,865
2025-09-17 14:21:16,328,375,375,23.0,297,865
2025-09-17 14:21:18,325,372,366,23.0,333,865
2025-09-17 14:21:20,328,375,369,23.1,369,866
2025-09-17 14:21:21,327,367,373,23.1,407,866
2025-09-17 14:21:23,322,361,368,23.1,448,865
2025-09-17 14:21:25,320,365,359,23.1,490,867
2025-09-17 14:21:27,301,350,351,23.1,535,868
2025-09-17 14:21:28,288,321,327,23.1,584,868
2025-09-17 14:21:30,279,319,319,23.1,635,868
2025-09-17 14:21:32,281,321,321,23.1,690,867
2025-09-17 14:21:33,283,324,317,23.1,750,868
2025-09-17 14:21:35,272,317,310,23.1,814,869
2025-09-17 14:21:37,279,312,319,23.1,884,870
2025-09-17 14:21:38,284,325,325,23.1,959,871
2025-09-17 14:21:40,298,336,342,23.2,1038,872
2025-09-17 14:21:42,281,328,330,23.1,1127,872
2025-09-17 14:21:43,325,372,365,23.1,1221,871
2025-09-17 14:21:45,287,328,327,23.1,1323,872
2025-09-17 14:21:47,285,325,325,23.2,1428,872
2025-09-17 14:21:48,281,321,316,23.2,1544,875
2025-09-17 14:21:50,276,322,322,23.2,1668,875
2025-09-17 14:21:52,291,325,330,23.2,1802,877
2025-09-17 14:21:54,282,329,324,23.2,1944,877
2025-09-17 14:21:55,280,314,320,23.2,1943,876
2025-09-17 14:21:57,272,310,304,23.2,1943,877
2025-09-17 14:21:59,270,303,309,23.2,1943,876
2025-09-17 14:22:00,269,307,301,23.2,1937,877
2025-09-17 14:22:02,265,309,303,23.2,1944,876
2025-09-17 14:22:04,267,307,307,23.2,1944,876
2025-09-17 14:22:05,261,306,300,23.2,1944,877
2025-09-17 14:22:07,268,300,306,23.2,1938,877
2025-09-17 14:22:09,270,309,308,23.2,1939,877
2025-09-17 14:22:10,270,308,302,23.2,1939,877
2025-09-17 14:22:12,270,308,302,23.2,1939,877
2025-09-17 14:22:14,267,298,304,23.2,1940,877
2025-09-17 14:22:15,265,296,302,23.2,1940,876
2025-09-17 14:22:17,264,302,301,23.2,1940,876
2025-09-17 14:22:19,258,302,295,23.2,1940,877
2025-09-17 14:22:20,258,302,302,23.2,1940,876
2025-09-17 14:22:22,265,303,297,23.2,1940,877
2025-09-17 14:22:24,265,303,303,23.3,1934,877
2025-09-17 14:22:26,265,302,302,23.3,1934,877
2025-09-17 14:22:27,264,302,296,23.3,1934,877
2025-09-17 14:22:29,263,295,300,23.3,1934,877
2025-09-17 14:22:31,262,293,299,23.3,1934,876
2025-09-17 14:22:32,256,300,300,23.3,1934,877
2025-09-17 14:22:34,256,299,299,23.3,1935,877
2025-09-17 14:22:36,262,293,296,23.3,1934,877
2025-09-17 14:22:37,263,294,300,23.3,1934,877
2025-09-17 14:22:39,263,295,301,23.3,1935,877
