Timestamp,R,G,B,Temperatura (°C),TDS (ppm),Turbidez
2025-09-17 14:26:07,681,696,696,22.6,43,769
2025-09-17 14:26:07,682,705,711,22.6,83,745
2025-09-17 14:26:07,673,700,694,22.6,122,741
2025-09-17 14:26:09,675,695,693,22.6,159,737
2025-09-17 14:26:10,668,691,689,22.6,195,703
2025-09-17 14:26:12,689,715,709,22.6,231,715
2025-09-17 14:26:14,687,715,716,22.6,267,696
2025-09-17 14:26:15,697,728,734,22.6,302,740
2025-09-17 14:26:17,706,728,721,22.6,339,753
2025-09-17 14:26:19,690,709,705,22.6,377,763
2025-09-17 14:26:21,692,714,718,22.6,416,745
2025-09-17 14:26:22,679,704,705,22.6,458,744
2025-09-17 14:26:24,723,734,734,22.6,501,743
2025-09-17 14:26:26,721,742,750,22.6,548,736
2025-09-17 14:26:27,710,728,739,22.6,598,738
2025-09-17 14:26:29,733,753,747,22.6,652,716
2025-09-17 14:26:31,742,763,764,22.6,710,713
2025-09-17 14:26:32,701,726,726,22.6,773,705
2025-09-17 14:26:34,711,731,735,22.6,840,706
2025-09-17 14:26:36,737,753,750,22.7,912,700
2025-09-17 14:26:37,739,760,755,22.7,990,694
2025-09-17 14:26:39,775,790,793,22.6,1078,696
2025-09-17 14:26:41,761,781,787,22.7,1167,700
2025-09-17 14:26:43,758,773,774,22.7,1266,689
2025-09-17 14:26:44,755,786,779,22.7,1372,674
2025-09-17 14:26:46,766,802,799,22.6,1491,674
2025-09-17 14:26:48,793,815,822,22.7,1610,690
2025-09-17 14:26:49,792,819,815,22.7,1742,681
2025-09-17 14:26:51,773,793,794,22.7,1883,674
2025-09-17 14:26:53,781,795,795,22.7,2033,684
2025-09-17 14:26:54,769,782,782,22.7,2033,674
2025-09-17 14:26:56,785,803,799,22.7,2033,666
2025-09-17 14:26:58,787,821,806,22.7,2033,687
2025-09-17 14:26:59,780,795,794,22.7,2032,703
2025-09-17 14:27:01,789,800,812,22.7,2032,702
2025-09-17 14:27:03,783,801,799,22.7,2032,700
2025-09-17 14:27:04,793,820,814,22.7,2031,699
2025-09-17 14:27:06,779,807,800,22.7,2031,701
2025-09-17 14:27:08,778,804,798,22.7,2031,678
2025-09-17 14:27:10,781,790,675,22.7,2030,647
2025-09-17 14:27:11,731,752,752,22.6,2036,652
2025-09-17 14:27:13,761,784,784,22.7,2030,658
2025-09-17 14:27:15,758,787,778,22.7,2030,678
2025-09-17 14:27:16,767,775,775,22.7,2029,683
2025-09-17 14:27:18,782,799,800,22.7,2023,643
2025-09-17 14:27:20,769,782,781,22.7,2028,618
2025-09-17 14:27:21,741,764,770,22.7,2022,677
2025-09-17 14:27:23,736,757,762,22.7,2028,668
2025-09-17 14:27:25,752,770,770,22.7,2028,659
2025-09-17 14:27:26,753,773,774,22.7,2028,659
2025-09-17 14:27:28,819,833,834,22.7,2028,660
2025-09-17 14:27:30,825,833,834,22.7,2028,660
2025-09-17 14:27:31,831,846,847,22.7,2022,654
2025-09-17 14:27:33,825,837,852,22.7,2022,661
2025-09-17 14:27:35,834,854,856,22.7,2022,683
2025-09-17 14:27:37,852,873,867,22.7,2021,646
2025-09-17 14:27:38,855,865,868,22.7,2021,595
2025-09-17 14:27:40,841,862,861,22.7,2021,641
2025-09-17 14:27:42,841,860,867,22.7,2021,593
2025-09-17 14:27:43,848,866,868,22.7,2021,610
2025-09-17 14:27:45,860,861,872,22.7,2021,628
2025-09-17 14:27:47,857,873,872,22.7,2021,646
2025-09-17 14:27:48,858,873,873,22.7,2021,667
2025-09-17 14:27:50,859,873,872,22.7,2021,647
2025-09-17 14:27:52,778,796,799,22.7,2022,634
2025-09-17 14:27:53,766,788,782,22.7,2022,670
2025-09-17 14:27:55,764,790,794,22.7,2023,623
2025-09-17 14:27:57,768,784,782,22.7,2024,641
2025-09-17 14:27:59,743,765,764,22.7,2024,599
2025-09-17 14:28:00,746,768,767,22.7,2031,671
2025-09-17 14:28:02,740,763,762,22.7,2026,620
2025-09-17 14:28:04,731,747,747,22.7,2027,616
2025-09-17 14:28:05,717,733,736,22.7,2028,604
2025-09-17 14:28:07,709,737,725,22.7,2029,629
2025-09-17 14:28:09,714,732,737,22.7,2030,664
2025-09-17 14:28:10,706,755,776,22.7,2031,668
2025-09-17 14:28:12,738,762,765,22.7,2032,670
2025-09-17 14:28:14,756,778,778,22.7,2032,662
2025-09-17 14:28:15,751,781,775,22.7,2033,622
2025-09-17 14:28:17,751,771,769,22.7,2034,629
2025-09-17 14:28:19,767,789,790,22.8,2028,627
2025-09-17 14:28:20,772,793,794,22.7,2035,683
2025-09-17 14:28:22,773,794,794,22.8,2029,656
2025-09-17 14:28:24,769,792,785,22.7,2035,650
2025-09-17 14:28:26,744,758,759,22.7,2035,654
