Data,Hora,UmidadeAr,MedUAr,DesvUAr,Q1UAr,MedUAr,Q3UAr,OutUAr,Temp,MedT,DesvT,Q1T,MedT,Q3T,OutT,USolo,MedUS,DesvUS,Q1US,MedUS,Q3US,OutUS,Corr1,Corr2,Corr3
# Data calculada a partir de 2025-04-18
# Hora calculada a partir de 18:46
2025-10-08,11:05:00,40.00,5.00,14.14,0.00,0.00,0.00,SIM,24.90,3.11,8.80,0.00,0.00,0.00,SIM,56.00,7.00,19.80,0.00,0.00,0.00,SIM,0.0000,0.0000,0.0000
2025-10-08,11:10:00,40.00,10.00,18.52,0.00,0.00,40.00,NAO,24.90,6.23,11.53,0.00,0.00,24.90,NAO,60.00,14.50,26.87,0.00,0.00,56.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:15:00,40.00,15.00,20.70,0.00,0.00,40.00,NAO,24.90,9.34,12.89,0.00,0.00,24.90,NAO,58.00,21.75,30.04,0.00,0.00,58.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:20:00,41.00,20.12,21.52,0.00,40.00,40.00,NAO,24.90,12.45,13.31,0.00,24.90,24.90,NAO,60.00,29.25,31.29,0.00,56.00,60.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:25:00,42.00,25.37,21.02,0.00,40.00,41.00,NAO,24.80,15.55,12.88,0.00,24.90,24.90,NAO,58.00,36.50,30.25,0.00,58.00,60.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:30:00,43.00,30.75,19.01,40.00,40.00,42.00,NAO,24.80,18.65,11.51,24.80,24.90,24.90,NAO,61.00,44.13,27.28,56.00,58.00,60.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:35:00,44.00,36.25,14.72,40.00,41.00,43.00,NAO,24.90,21.76,8.79,24.80,24.90,24.90,NAO,61.00,51.75,20.98,58.00,60.00,61.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:40:00,44.00,41.75,1.75,40.00,42.00,44.00,NAO,24.90,24.87,0.05,24.90,24.90,24.90,NAO,62.00,59.50,2.00,58.00,60.00,61.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:45:00,43.00,42.13,1.64,41.00,43.00,44.00,NAO,25.00,24.89,0.06,24.90,24.90,24.90,SIM,64.00,60.50,2.00,60.00,61.00,62.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:50:00,42.00,42.38,1.41,42.00,43.00,44.00,NAO,25.00,24.90,0.08,24.90,24.90,25.00,NAO,64.00,61.00,2.33,60.00,61.00,64.00,NAO,0.0000,0.0000,0.0000
2025-10-08,11:55:00,41.00,42.50,1.20,42.00,43.00,44.00,NAO,25.10,24.92,0.10,24.90,24.90,25.00,NAO,69.00,62.38,3.34,61.00,62.00,64.00,SIM,0.0000,0.0000,0.0000
2025-10-08,12:00:00,41.00,42.50,1.20,42.00,43.00,44.00,NAO,25.10,24.95,0.12,24.90,25.00,25.10,NAO,65.00,63.00,3.30,61.00,64.00,65.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:05:00,41.00,42.38,1.30,41.00,43.00,44.00,NAO,25.10,24.99,0.11,24.90,25.00,25.10,NAO,65.00,63.88,2.64,62.00,64.00,65.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:10:00,41.00,42.13,1.36,41.00,42.00,44.00,NAO,25.20,25.04,0.11,25.00,25.10,25.10,NAO,70.00,65.00,3.12,64.00,65.00,69.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:15:00,42.00,41.88,1.13,41.00,42.00,43.00,NAO,25.20,25.07,0.10,25.00,25.10,25.20,NAO,70.00,66.12,3.09,64.00,65.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:20:00,43.00,41.75,0.89,41.00,42.00,43.00,NAO,25.20,25.11,0.08,25.10,25.10,25.20,NAO,70.00,67.12,2.85,65.00,69.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:25:00,44.00,41.88,1.13,41.00,42.00,43.00,NAO,25.20,25.14,0.08,25.10,25.20,25.20,NAO,69.00,67.75,2.60,65.00,69.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:30:00,45.00,42.25,1.58,41.00,42.00,44.00,NAO,25.20,25.16,0.05,25.10,25.20,25.20,NAO,69.00,68.37,2.13,69.00,69.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:35:00,45.00,42.75,1.75,41.00,43.00,45.00,NAO,25.20,25.17,0.05,25.20,25.20,25.20,NAO,70.00,68.50,2.20,69.00,70.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:40:00,46.00,43.38,1.92,42.00,44.00,45.00,NAO,25.20,25.19,0.04,25.20,25.20,25.20,NAO,69.00,69.00,1.69,69.00,70.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:45:00,46.00,44.00,1.85,43.00,45.00,46.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,71.00,69.75,0.71,69.00,70.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,12:50:00,46.00,44.63,1.51,44.00,45.00,46.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,67.00,69.37,1.19,69.00,70.00,70.00,SIM,-0.1867,0.8018,0.2309
2025-10-08,12:55:00,46.00,45.13,1.13,45.00,46.00,46.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,70.00,69.37,1.19,69.00,70.00,70.00,NAO,-0.1867,0.8018,0.2309
2025-10-08,13:00:00,47.00,45.63,0.92,45.00,46.00,46.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,70.00,69.37,1.19,69.00,70.00,70.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:05:00,47.00,46.00,0.76,46.00,46.00,47.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,71.00,69.62,1.30,69.00,70.00,71.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:10:00,47.00,46.25,0.71,46.00,46.00,47.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,71.00,69.87,1.36,70.00,70.00,71.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:15:00,47.00,46.50,0.53,46.00,47.00,47.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,72.00,70.12,1.55,70.00,71.00,71.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:20:00,47.00,46.63,0.52,46.00,47.00,47.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,72.00,70.50,1.60,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:25:00,47.00,46.75,0.46,47.00,47.00,47.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,70.00,70.37,1.60,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:30:00,47.00,46.88,0.35,47.00,47.00,47.00,NAO,25.20,25.20,0.01,25.20,25.20,25.20,NAO,69.00,70.62,1.06,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:35:00,47.00,47.00,0.00,47.00,47.00,47.00,NAO,25.30,25.21,0.04,25.20,25.20,25.20,SIM,70.00,70.62,1.06,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:40:00,46.00,46.88,0.35,47.00,47.00,47.00,SIM,25.30,25.22,0.05,25.20,25.20,25.30,NAO,71.00,70.75,1.04,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:45:00,46.00,46.75,0.46,47.00,47.00,47.00,SIM,25.30,25.24,0.05,25.20,25.20,25.30,NAO,70.00,70.62,1.06,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:50:00,46.00,46.63,0.52,46.00,47.00,47.00,NAO,25.30,25.25,0.05,25.20,25.30,25.30,NAO,72.00,70.75,1.16,70.00,71.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,13:55:00,46.00,46.50,0.53,46.00,47.00,47.00,NAO,25.30,25.26,0.05,25.20,25.30,25.30,NAO,70.00,70.50,1.07,70.00,70.00,72.00,NAO,0.4718,0.7519,0.2983
2025-10-08,14:00:00,46.00,46.38,0.52,46.00,46.00,47.00,NAO,25.30,25.27,0.05,25.30,25.30,25.30,NAO,73.00,70.62,1.30,70.00,70.00,72.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:05:00,46.00,46.25,0.46,46.00,46.00,47.00,NAO,25.40,25.30,0.05,25.30,25.30,25.30,SIM,73.00,71.00,1.51,70.00,71.00,73.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:10:00,46.00,46.13,0.35,46.00,46.00,46.00,NAO,25.40,25.32,0.04,25.30,25.30,25.40,NAO,73.00,71.50,1.41,70.00,72.00,73.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:15:00,46.00,46.00,0.00,46.00,46.00,46.00,NAO,25.40,25.34,0.05,25.30,25.30,25.40,NAO,75.00,72.12,1.73,71.00,73.00,73.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:20:00,46.00,46.00,0.00,46.00,46.00,46.00,NAO,25.40,25.35,0.05,25.30,25.40,25.40,NAO,72.00,72.25,1.67,72.00,73.00,73.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:25:00,45.00,45.88,0.35,46.00,46.00,46.00,SIM,25.40,25.36,0.05,25.30,25.40,25.40,NAO,73.00,72.62,1.41,72.00,73.00,73.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:30:00,45.00,45.75,0.46,46.00,46.00,46.00,SIM,25.50,25.39,0.06,25.40,25.40,25.40,SIM,72.00,72.62,1.41,72.00,73.00,73.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:35:00,45.00,45.63,0.52,45.00,46.00,46.00,NAO,25.50,25.41,0.06,25.40,25.40,25.50,NAO,74.00,73.12,0.99,73.00,73.00,74.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:40:00,45.00,45.50,0.53,45.00,46.00,46.00,NAO,25.60,25.45,0.08,25.40,25.40,25.50,NAO,74.00,73.25,1.04,73.00,73.00,74.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:45:00,45.00,45.38,0.52,45.00,45.00,46.00,NAO,25.60,25.47,0.09,25.40,25.50,25.60,NAO,72.00,73.12,1.13,72.00,73.00,74.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:50:00,45.00,45.25,0.46,45.00,45.00,46.00,NAO,25.60,25.50,0.09,25.40,25.50,25.60,NAO,77.00,73.62,1.77,72.00,74.00,75.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,14:55:00,45.00,45.13,0.35,45.00,45.00,45.00,NAO,25.60,25.52,0.09,25.50,25.60,25.60,NAO,74.00,73.50,1.69,72.00,74.00,74.00,NAO,-0.8597,0.0768,-0.2148
2025-10-08,15:00:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.60,25.55,0.08,25.50,25.60,25.60,NAO,73.00,73.62,1.60,73.00,74.00,74.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:05:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.60,25.57,0.05,25.60,25.60,25.60,NAO,74.00,73.75,1.58,73.00,74.00,74.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:10:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.60,0.05,25.60,25.60,25.60,SIM,74.00,74.00,1.41,74.00,74.00,74.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:15:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.63,0.04,25.60,25.60,25.70,NAO,74.00,74.00,1.41,74.00,74.00,74.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:20:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.64,0.05,25.60,25.60,25.70,NAO,75.00,74.12,1.46,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:25:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.66,0.07,25.60,25.70,25.70,NAO,75.00,74.50,1.20,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:30:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.69,0.08,25.60,25.70,25.80,NAO,74.00,74.12,0.64,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:35:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.71,0.08,25.70,25.70,25.80,NAO,75.00,74.25,0.71,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:40:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.74,0.07,25.70,25.80,25.80,NAO,73.00,74.25,0.71,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:45:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.76,0.05,25.70,25.80,25.80,NAO,73.00,74.12,0.83,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:50:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.78,0.04,25.80,25.80,25.80,NAO,74.00,74.12,0.83,74.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,15:55:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.78,0.04,25.80,25.80,25.80,SIM,73.00,74.00,0.93,73.00,74.00,75.00,NAO,-0.7884,0.2659,-0.1277
2025-10-08,16:00:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.78,0.04,25.80,25.80,25.80,SIM,75.00,74.00,0.93,73.00,74.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:05:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.76,0.05,25.70,25.80,25.80,NAO,75.00,74.00,0.93,73.00,74.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:10:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.75,0.05,25.70,25.80,25.80,NAO,74.00,74.00,0.93,73.00,74.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:15:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.70,25.74,0.05,25.70,25.70,25.80,NAO,74.00,73.87,0.83,73.00,74.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:20:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.74,0.05,25.70,25.70,25.80,NAO,76.00,74.25,1.04,74.00,74.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:25:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.74,0.05,25.70,25.70,25.80,NAO,75.00,74.50,0.93,74.00,75.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:30:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.74,0.05,25.70,25.70,25.80,NAO,75.00,74.62,0.92,74.00,75.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:35:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.75,0.05,25.70,25.80,25.80,NAO,74.00,74.75,0.71,74.00,75.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:40:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.76,0.05,25.70,25.80,25.80,NAO,74.00,74.62,0.74,74.00,75.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:45:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.77,0.05,25.80,25.80,25.80,NAO,74.00,74.50,0.76,74.00,74.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:50:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.79,0.03,25.80,25.80,25.80,NAO,75.00,74.62,0.74,74.00,75.00,75.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,16:55:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,76.00,74.87,0.83,74.00,75.00,76.00,NAO,0.0000,-0.0762,0.0000
2025-10-08,17:00:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,75.00,74.75,0.71,74.00,75.00,75.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:05:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,76.00,74.87,0.83,74.00,75.00,76.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:10:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,77.00,75.12,1.13,74.00,75.00,76.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:15:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,75.00,75.25,1.04,75.00,75.00,76.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:20:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,77.00,75.62,1.06,75.00,76.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:25:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,75.00,75.75,0.89,75.00,76.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:30:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,75.00,75.75,0.89,75.00,76.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:35:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,77.00,75.87,0.99,75.00,76.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:40:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,77.00,76.12,0.99,75.00,77.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:45:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,77.00,76.25,1.04,75.00,77.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:50:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.81,0.03,25.80,25.80,25.80,SIM,77.00,76.25,1.04,75.00,77.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,17:55:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.82,0.05,25.80,25.80,25.90,NAO,76.00,76.37,0.92,76.00,77.00,77.00,NAO,0.0000,0.3334,0.0000
2025-10-08,18:00:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.84,0.05,25.80,25.80,25.90,NAO,76.00,76.25,0.89,76.00,77.00,77.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:05:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.85,0.05,25.80,25.90,25.90,NAO,78.00,76.62,0.92,76.00,77.00,77.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:10:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.86,0.05,25.80,25.90,25.90,NAO,77.00,76.87,0.64,77.00,77.00,77.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:15:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.87,0.05,25.90,25.90,25.90,NAO,78.00,77.00,0.76,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:20:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.89,0.04,25.90,25.90,25.90,NAO,77.00,77.00,0.76,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:25:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.89,0.04,25.90,25.90,25.90,SIM,79.00,77.25,1.04,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:30:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.87,0.05,25.90,25.90,25.90,SIM,77.00,77.25,1.04,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:35:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.86,0.05,25.80,25.90,25.90,NAO,77.00,77.37,0.92,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:40:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.85,0.05,25.80,25.90,25.90,NAO,77.00,77.50,0.76,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:45:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.84,0.05,25.80,25.80,25.90,NAO,77.00,77.37,0.74,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:50:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.82,0.05,25.80,25.80,25.90,NAO,77.00,77.37,0.74,77.00,77.00,78.00,NAO,0.0000,0.0601,0.0000
2025-10-08,18:55:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.81,0.03,25.80,25.80,25.80,NAO,77.00,77.25,0.71,77.00,77.00,77.00,NAO,0.0000,0.0601,0.0000
2025-10-08,19:00:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,77.00,77.25,0.71,77.00,77.00,77.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:05:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.80,25.80,nan,25.80,25.80,25.80,NAO,78.00,77.12,0.35,77.00,77.00,77.00,SIM,0.0000,0.1852,0.0000
2025-10-08,19:10:00,45.00,45.00,0.00,45.00,45.00,45.00,NAO,25.90,25.81,0.03,25.80,25.80,25.80,SIM,78.00,77.25,0.46,77.00,77.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:15:00,46.00,45.13,0.35,45.00,45.00,45.00,SIM,25.90,25.82,0.05,25.80,25.80,25.90,NAO,79.00,77.50,0.76,77.00,77.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:20:00,46.00,45.25,0.46,45.00,45.00,46.00,NAO,25.90,25.84,0.05,25.80,25.80,25.90,NAO,78.00,77.62,0.74,77.00,78.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:25:00,46.00,45.38,0.52,45.00,45.00,46.00,NAO,25.90,25.85,0.05,25.80,25.90,25.90,NAO,77.00,77.62,0.74,77.00,78.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:30:00,46.00,45.50,0.53,45.00,46.00,46.00,NAO,25.90,25.86,0.05,25.80,25.90,25.90,NAO,78.00,77.75,0.71,77.00,78.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:35:00,46.00,45.63,0.52,45.00,46.00,46.00,NAO,25.80,25.86,0.05,25.80,25.90,25.90,NAO,78.00,77.87,0.64,78.00,78.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:40:00,46.00,45.75,0.46,46.00,46.00,46.00,NAO,25.80,25.86,0.05,25.80,25.90,25.90,NAO,78.00,78.00,0.53,78.00,78.00,78.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:45:00,46.00,45.88,0.35,46.00,46.00,46.00,NAO,25.80,25.86,0.05,25.80,25.90,25.90,NAO,79.00,78.12,0.64,78.00,78.00,79.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:50:00,46.00,46.00,0.00,46.00,46.00,46.00,NAO,25.80,25.85,0.05,25.80,25.90,25.90,NAO,78.00,78.12,0.64,78.00,78.00,79.00,NAO,0.0000,0.1852,0.0000
2025-10-08,19:55:00,46.00,46.00,0.00,46.00,46.00,46.00,NAO,25.80,25.84,0.05,25.80,25.80,25.90,NAO,77.00,77.87,0.64,78.00,78.00,78.00,SIM,0.0000,0.1852,0.0000
2025-10-08,20:00:00,46.00,46.00,0.00,46.00,46.00,46.00,NAO,25.80,25.82,0.05,25.80,25.80,25.90,NAO,79.00,78.00,0.76,78.00,78.00,79.00,NAO,-0.0742,-0.1063,0.0582
2025-10-08,20:05:00,47.00,46.13,0.35,46.00,46.00,46.00,SIM,25.80,25.81,0.04,25.80,25.80,25.80,NAO,79.00,78.25,0.71,78.00,78.00,79.00,NAO,-0.0742,-0.1063,0.0582
2025-10-08,20:10:00,47.00,46.25,0.46,46.00,46.00,47.00,NAO,25.70,25.79,0.03,25.80,25.80,25.80,SIM,79.00,78.37,0.74,78.00,79.00,79.00,NAO,-0.0742,-0.1063,0.0582
2025-10-08,20:15:00,47.00,46.38,0.52,46.00,46.00,47.00,NAO,25.70,25.77,0.05,25.80,25.80,25.80,SIM,79.00,78.50,0.76,78.00,79.00,79.00,NAO,-0.0742,-0.1063,0.0582
2025-10-08,20:20:00,47.00,46.50,0.53,46.00,47.00,47.00,NAO,25.70,25.76,0.05,25.70,25.80,25.80,NAO,77.00,78.37,0.92,78.00,79.00,79.00,NAO,-0.0742,-0.1063,0.0582
2025-10-08,20:25:00,47.00,46.63,0.52,46.00,47.00,47.00,NAO,25.70,25.75,0.05,25.70,25.80,25.80,NAO,77.00,78.12,0.99,77.00,79.00,79.00,NAO,-0.0742,-0.1063,0.0582
